key,press_time,release_time,dwell_time,flight_time
s,699.7,832.9,133.2,137.9
e,970.8,1089.8,119.0,130.6
c,1220.4,1289.5,69.1,283.3
u,1572.8,1658.1,85.3,187.0
r,1845.1,1948.2,103.1,113.4
e,2061.6,2193.4,131.8,178.4
p,2371.8,2460.9,89.1,91.7
a,2552.6,2717.7,165.1,123.1
s,2840.8,2956.0,115.2,60.1
s,3016.1,3105.3,89.2,124.5
w,3229.8,3365.4,135.6,189.5
o,3554.9,3630.5,75.6,200.5
r,3831.0,3955.9,124.9,135.5
d,4091.4,4206.2,114.8,253.0
1,4459.2,4574.3,115.1,567.9
2,5142.2,5303.6,161.4,114.3
3,5417.9,5537.1,119.2,0.0
