key,press_time,release_time,dwell_time,flight_time
s,713.9,854.6,140.7,118.4
e,973.0,1091.4,118.4,122.7
c,1214.1,1286.1,72.0,246.0
u,1532.1,1611.5,79.4,165.6
r,1777.1,1898.7,121.6,109.5
e,2008.2,2140.2,132.0,217.7
p,2357.9,2440.2,82.3,133.9
a,2574.1,2734.5,160.4,123.9
s,2858.4,2987.2,128.8,49.0
s,3036.2,3141.8,105.6,138.2
w,3280.0,3435.5,155.5,353.9
o,3789.4,3864.8,75.4,230.0
r,4094.8,4210.4,115.6,133.3
d,4343.7,4459.2,115.5,218.7
1,4677.9,4912.3,234.4,113.8
2,5026.1,5150.9,124.8,112.1
3,5263.0,5375.0,112.0,0.0
