key,press_time,release_time,dwell_time,flight_time
s,1735.4,1886.9,151.5,203.1
e,2090.0,2241.1,151.1,196.9
c,2438.0,2519.8,81.8,421.3
u,2941.1,3010.9,69.8,322.0
r,3332.9,3480.9,148.0,125.9
e,3606.8,3725.1,118.3,362.5
p,4087.6,4166.5,78.9,136.1
a,4302.6,4462.1,159.5,116.7
s,4578.8,4690.3,111.5,59.2
s,4749.5,4828.6,79.1,186.2
w,5014.8,5143.7,128.9,434.1
o,5577.8,5667.2,89.4,242.1
r,5909.3,6061.0,151.7,149.8
d,6210.8,6362.1,151.3,288.7
1,6650.8,6828.5,177.7,112.5
2,6941.0,7098.5,157.5,131.3
3,7229.8,7348.8,119.0,0.0
